turbine,sensor,time_stamp,name,component,characteristic,target_frequency_hz,amplitude
data-WTG511,1,1452060000000,1452060000000_1452060000000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,484.8485281773154,5.0387237734612985e-05
data-WTG511,1,1452060000000,1452060000000_1452060000000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,35749.53046750927,
data-WTG511,1,1452254400000,1452254400000_1452250200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,68903.66686023773,
data-WTG511,1,1452254400000,1452254400000_1452250200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,92360.23430202079,
data-WTG511,1,1452254400000,1452254400000_1452250200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,733.0177325557206,6.738782847481938e-05
data-WTG511,1,1452254400000,1452254400000_1452250200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54047.88968162397,
data-WTG511,1,1452384000000,1452384000000_1452384000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,69658.18588238732,
data-WTG511,1,1452384000000,1452384000000_1452384000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,93371.61086362555,
data-WTG511,1,1452384000000,1452384000000_1452384000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,741.0445306636949,4.829896771203709e-05
data-WTG511,1,1452384000000,1452384000000_1452384000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54639.73279723848,
data-WTG511,1,1452405600000,1452405600000_1452405600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,71336.63953400693,
data-WTG511,1,1452405600000,1452405600000_1452405600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,95621.45299239225,
data-WTG511,1,1452405600000,1452405600000_1452405600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,758.9004205745417,6.826908917332634e-05
data-WTG511,1,1452405600000,1452405600000_1452405600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,55956.30827039092,
data-WTG511,1,1452427200000,1452427200000_1452427200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,71572.20175410599,
data-WTG511,1,1452427200000,1452427200000_1452427200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,95937.2066065676,
data-WTG511,1,1452427200000,1452427200000_1452427200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,761.4064016394254,9.812363874353542e-05
data-WTG511,1,1452427200000,1452427200000_1452427200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,56141.08277464042,
data-WTG511,1,1452686400000,1452686400000_1452686400000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,70666.33351073798,
data-WTG511,1,1452686400000,1452686400000_1452686400000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,94722.95768460624,
data-WTG511,1,1452686400000,1452686400000_1452686400000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,751.7695054333828,7.972957319788601e-05
data-WTG511,1,1452686400000,1452686400000_1452686400000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,55430.521651921794,
data-WTG511,1,1452708000000,1452708000000_1452708000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,69632.24886324913,
data-WTG511,1,1452708000000,1452708000000_1452708000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,93336.84422095095,
data-WTG511,1,1452708000000,1452708000000_1452708000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,740.7686049281822,5.952732434871189e-05
data-WTG511,1,1452708000000,1452708000000_1452708000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54619.38785461163,
data-WTG511,1,1452729600000,1452729600000_1452729600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,72090.98838030707,
data-WTG511,1,1452729600000,1452729600000_1452729600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,96632.60144594352,
data-WTG511,1,1452729600000,1452729600000_1452729600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,766.9254083011391,0.00010674031551444612
data-WTG511,1,1452729600000,1452729600000_1452729600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,56548.01790043121,
data-WTG511,1,1452751200000,1452751200000_1452748200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,56122.39881869242,
data-WTG511,1,1452751200000,1452751200000_1452748200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,75227.89628888559,
data-WTG511,1,1452751200000,1452751200000_1452748200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,597.0467959435364,0.00018427753520647516
data-WTG511,1,1452751200000,1452751200000_1452748200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,44022.29022402315,
data-WTG511,1,1452772800000,1452772800000_1452769200000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,67829.01931924715,
data-WTG511,1,1452772800000,1452772800000_1452769200000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,90919.74930026745,
data-WTG511,1,1452772800000,1452772800000_1452769200000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,721.5853119068845,5.089034253010467e-05
data-WTG511,1,1452772800000,1452772800000_1452769200000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,53204.93843695508,
data-WTG511,1,1452772800000,1452772800000_1452771600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,67828.19711093114,
data-WTG511,1,1452772800000,1452772800000_1452771600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,90918.64719124814,
data-WTG511,1,1452772800000,1452772800000_1452771600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,721.5765650099058,7.088328527487237e-05
data-WTG511,1,1452772800000,1452772800000_1452771600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,53204.29349850139,
data-WTG511,1,1452794400000,1452794400000_1452785700000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,69589.21841993065,
data-WTG511,1,1452794400000,1452794400000_1452785700000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,93279.16511607726,
data-WTG511,1,1452794400000,1452794400000_1452785700000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,740.3108342545814,7.880078865764106e-05
data-WTG511,1,1452794400000,1452794400000_1452785700000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54585.63486642676,
data-WTG511,1,1452794400000,1452794400000_1452794400000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,69588.82720045072,
data-WTG511,1,1452794400000,1452794400000_1452794400000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,93278.64071549776,
data-WTG511,1,1452794400000,1452794400000_1452794400000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,740.3066723452204,4.2976117181290994e-05
data-WTG511,1,1452794400000,1452794400000_1452794400000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54585.32799469907,
data-WTG511,1,1452816000000,1452816000000_1452807600000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,71199.74601130262,
data-WTG511,1,1452816000000,1452816000000_1452807600000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,95437.95741940563,
data-WTG511,1,1452816000000,1452816000000_1452807600000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,757.4441065032194,5.359314458097741e-05
data-WTG511,1,1452816000000,1452816000000_1452807600000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,55848.92928244448,
data-WTG511,1,1452816000000,1452816000000_1452816000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,71199.92728557703,
data-WTG511,1,1452816000000,1452816000000_1452816000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,95438.20040407132,
data-WTG511,1,1452816000000,1452816000000_1452816000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,757.446034952947,8.052387834068693e-05
data-WTG511,1,1452816000000,1452816000000_1452816000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,55849.07147359962,
data-WTG511,1,1452837600000,1452837600000_1452837600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,69382.69892822189,
data-WTG511,1,1452837600000,1452837600000_1452837600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,93002.34111655274,
data-WTG511,1,1452837600000,1452837600000_1452837600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,738.1138183853392,6.936948533095494e-05
data-WTG511,1,1452837600000,1452837600000_1452837600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54423.641416533574,
data-WTG511,1,1452859200000,1452859200000_1452855600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,66721.34564017336,
data-WTG511,1,1452859200000,1452859200000_1452855600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,89434.99521980683,
data-WTG511,1,1452859200000,1452859200000_1452855600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,709.8015493635463,7.52074016126947e-05
data-WTG511,1,1452859200000,1452859200000_1452855600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,52336.08155984211,
data-WTG511,1,1452880800000,1452880800000_1452880200000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,49045.03125596829,
data-WTG511,1,1452880800000,1452880800000_1452880200000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,65741.21210906388,
data-WTG511,1,1452880800000,1452880800000_1452880200000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,521.7556516592372,6.000295693140523e-05
data-WTG511,1,1452880800000,1452880800000_1452880200000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,38470.8181660512,
data-WTG511,1,1452902400000,1452902400000_1452900900000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,56552.26486409113,
data-WTG511,1,1452902400000,1452902400000_1452900900000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,75804.0997114413,
data-WTG511,1,1452902400000,1452902400000_1452900900000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,601.6198389796929,8.012511508988141e-05
data-WTG511,1,1452902400000,1452902400000_1452900900000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,44359.47623542529,
data-WTG511,1,1452924000000,1452924000000_1452904500000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,69394.18024884597,
data-WTG511,1,1452924000000,1452924000000_1452904500000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,93017.73097185735,
data-WTG511,1,1452924000000,1452924000000_1452904500000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,738.235960094106,4.256006571506115e-05
data-WTG511,1,1452924000000,1452924000000_1452904500000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54432.64734000275,
data-WTG511,1,1452924000000,1452924000000_1452924000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,69394.20244569589,
data-WTG511,1,1452924000000,1452924000000_1452924000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,93017.76072508172,
data-WTG511,1,1452924000000,1452924000000_1452924000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,738.2361962308073,7.347090360309748e-05
data-WTG511,1,1452924000000,1452924000000_1452924000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54432.66475116461,
data-WTG511,1,1452945600000,1452945600000_1452937500000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,68724.51136765676,
data-WTG511,1,1452945600000,1452945600000_1452937500000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,92120.08970558246,
data-WTG511,1,1452945600000,1452945600000_1452937500000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,731.1118230601783,4.749260765865186e-05
data-WTG511,1,1452945600000,1452945600000_1452937500000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,53907.36049442535,
data-WTG511,1,1452945600000,1452945600000_1452944700000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,68724.51136765676,
data-WTG511,1,1452945600000,1452945600000_1452944700000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,92120.08970558246,
data-WTG511,1,1452945600000,1452945600000_1452944700000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,731.1118230601783,6.597291115229585e-05
data-WTG511,1,1452945600000,1452945600000_1452944700000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,53907.36049442535,
data-WTG511,1,1452967200000,1452967200000_1452967200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,69305.69435635462,
data-WTG511,1,1452967200000,1452967200000_1452967200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,92899.1222223477,
data-WTG511,1,1452967200000,1452967200000_1452967200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,737.2946208122833,6.426863444780536e-05
data-WTG511,1,1452967200000,1452967200000_1452967200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54363.23919420041,
data-WTG511,1,1452988800000,1452988800000_1452979800000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,69231.58369879641,
data-WTG511,1,1452988800000,1452988800000_1452979800000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,92799.78240476966,
data-WTG511,1,1452988800000,1452988800000_1452979800000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,736.506209561664,0.000191881462440916
data-WTG511,1,1452988800000,1452988800000_1452979800000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54305.106952094,
data-WTG511,1,1452988800000,1452988800000_1452988500000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,69230.64310728082,
data-WTG511,1,1452988800000,1452988800000_1452988500000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,92798.52161188706,
data-WTG511,1,1452988800000,1452988800000_1452988500000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,736.4962032689449,5.572628875863887e-05
data-WTG511,1,1452988800000,1452988800000_1452988500000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54304.36915411043,
data-WTG511,1,1453010400000,1453010400000_1453008900000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,69501.12559665676,
data-WTG511,1,1453010400000,1453010400000_1453008900000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,93161.08324658246,
data-WTG511,1,1453010400000,1453010400000_1453008900000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,739.3736765601783,5.3917165168946864e-05
